time_min,intervention,PO2,id
5,Butorphanol+M5050,26,ID1
10,Butorphanol+M5050,62,ID1
15,Butorphanol+M5050,76,ID1
20,Butorphanol+M5050,90,ID1
25,Butorphanol+M5050,113,ID1
5,Butorphanol+M5050,31,ID2
10,Butorphanol+M5050,71,ID2
15,Butorphanol+M5050,78,ID2
20,Butorphanol+M5050,83,ID2
25,Butorphanol+M5050,88,ID2
5,Butorphanol+M5050,33,ID3
10,Butorphanol+M5050,58,ID3
15,Butorphanol+M5050,76,ID3
20,Butorphanol+M5050,78,ID3
25,Butorphanol+M5050,90,ID3
5,Butorphanol+M5050,36,ID4
10,Butorphanol+M5050,50,ID4
15,Butorphanol+M5050,52,ID4
20,Butorphanol+M5050,49,ID4
25,Butorphanol+M5050,50,ID4
5,Butorphanol+M5050,29,ID5
10,Butorphanol+M5050,77,ID5
15,Butorphanol+M5050,87,ID5
20,Butorphanol+M5050,89,ID5
25,Butorphanol+M5050,72,ID5
5,Butorphanol+M5050,37,ID6
10,Butorphanol+M5050,69,ID6
15,Butorphanol+M5050,78,ID6
20,Butorphanol+M5050,88,ID6
25,Butorphanol+M5050,92,ID6
5,Butorphanol+M5050,44,ID7
10,Butorphanol+M5050,61,ID7
15,Butorphanol+M5050,74,ID7
20,Butorphanol+M5050,71,ID7
25,Butorphanol+M5050,73,ID7
5,Butorphanol+M5050,32,ID8
10,Butorphanol+M5050,50,ID8
15,Butorphanol+M5050,57,ID8
20,Butorphanol+M5050,76,ID8
25,Butorphanol+M5050,62,ID8
5,Butorphanol,40,ID9
10,Butorphanol,63,ID9
15,Butorphanol,88,ID9
20,Butorphanol,80,ID9
25,Butorphanol,70,ID9
5,Butorphanol,36,ID10
10,Butorphanol,72,ID10
15,Butorphanol,99,ID10
20,Butorphanol,98,ID10
25,Butorphanol,97,ID10
5,Butorphanol,41,ID11
10,Butorphanol,72,ID11
15,Butorphanol,80,ID11
20,Butorphanol,61,ID11
25,Butorphanol,65,ID11
5,Butorphanol,36,ID12
10,Butorphanol,72,ID12
15,Butorphanol,77,ID12
20,Butorphanol,75,ID12
25,Butorphanol,65,ID12
5,Butorphanol,25,ID13
10,Butorphanol,57,ID13
15,Butorphanol,65,ID13
20,Butorphanol,69,ID13
25,Butorphanol,53,ID13
5,Butorphanol,35,ID14
10,Butorphanol,71,ID14
15,Butorphanol,72,ID14
20,Butorphanol,75,ID14
25,Butorphanol,71,ID14
5,Butorphanol,27,ID15
10,Butorphanol,57,ID15
15,Butorphanol,64,ID15
20,Butorphanol,61,ID15
25,Butorphanol,66,ID15
5,Butorphanol,48,ID16
10,Butorphanol,77,ID16
15,Butorphanol,67,ID16
20,Butorphanol,66,ID16
25,Butorphanol,67,ID16
5,Butorphanol,42,ID17
10,Butorphanol,72,ID17
15,Butorphanol,75,ID17
20,Butorphanol,81,ID17
25,Butorphanol,75,ID17
5,Butorphanol,31,ID18
10,Butorphanol,60,ID18
15,Butorphanol,65,ID18
20,Butorphanol,61,ID18
25,Butorphanol,56,ID18
5,Butorphanol,37,ID19
10,Butorphanol,79,ID19
15,Butorphanol,84,ID19
20,Butorphanol,78,ID19
25,Butorphanol,68,ID19
5,Butorphanol,34,ID20
10,Butorphanol,75,ID20
15,Butorphanol,87,ID20
20,Butorphanol,110,ID20
25,Butorphanol,145,ID20
5,Butorphanol,31,ID21
10,Butorphanol,73,ID21
15,Butorphanol,101,ID21
20,Butorphanol,148,ID21
25,Butorphanol,156,ID21
5,Butorphanol,42,ID22
10,Butorphanol,65,ID22
15,Butorphanol,76,ID22
20,Butorphanol,76,ID22
25,Butorphanol,79,ID22
