time_min,intervention,resp_rate,id
5,Butorphanol+M5050,12,ID1
10,Butorphanol+M5050,9,ID1
15,Butorphanol+M5050,7,ID1
20,Butorphanol+M5050,6,ID1
25,Butorphanol+M5050,7,ID1
5,Butorphanol+M5050,12,ID2
10,Butorphanol+M5050,10,ID2
15,Butorphanol+M5050,10,ID2
20,Butorphanol+M5050,8,ID2
25,Butorphanol+M5050,6,ID2
5,Butorphanol+M5050,16,ID3
10,Butorphanol+M5050,11,ID3
15,Butorphanol+M5050,11,ID3
20,Butorphanol+M5050,8,ID3
25,Butorphanol+M5050,7,ID3
5,Butorphanol+M5050,12,ID4
10,Butorphanol+M5050,13,ID4
15,Butorphanol+M5050,11,ID4
20,Butorphanol+M5050,11,ID4
25,Butorphanol+M5050,14,ID4
5,Butorphanol+M5050,10,ID5
10,Butorphanol+M5050,12,ID5
15,Butorphanol+M5050,13,ID5
20,Butorphanol+M5050,14,ID5
25,Butorphanol+M5050,14,ID5
5,Butorphanol+M5050,14,ID6
10,Butorphanol+M5050,14,ID6
15,Butorphanol+M5050,10,ID6
20,Butorphanol+M5050,8,ID6
25,Butorphanol+M5050,7,ID6
5,Butorphanol+M5050,10,ID7
10,Butorphanol+M5050,10,ID7
15,Butorphanol+M5050,9,ID7
20,Butorphanol+M5050,8,ID7
25,Butorphanol+M5050,8,ID7
5,Butorphanol+M5050,14,ID8
10,Butorphanol+M5050,13,ID8
15,Butorphanol+M5050,9,ID8
20,Butorphanol+M5050,8,ID8
25,Butorphanol+M5050,8,ID8
5,Butorphanol,14,ID9
10,Butorphanol,16,ID9
15,Butorphanol,15,ID9
20,Butorphanol,12,ID9
25,Butorphanol,12,ID9
5,Butorphanol,10,ID10
10,Butorphanol,13,ID10
15,Butorphanol,9,ID10
20,Butorphanol,9,ID10
25,Butorphanol,8,ID10
5,Butorphanol,11,ID11
10,Butorphanol,12,ID11
15,Butorphanol,12,ID11
20,Butorphanol,11,ID11
25,Butorphanol,11,ID11
5,Butorphanol,14,ID12
10,Butorphanol,16,ID12
15,Butorphanol,16,ID12
20,Butorphanol,13,ID12
25,Butorphanol,14,ID12
5,Butorphanol,16,ID13
10,Butorphanol,18,ID13
15,Butorphanol,16,ID13
20,Butorphanol,16,ID13
25,Butorphanol,16,ID13
5,Butorphanol,12,ID14
10,Butorphanol,16,ID14
15,Butorphanol,11,ID14
20,Butorphanol,11,ID14
25,Butorphanol,10,ID14
5,Butorphanol,15,ID15
10,Butorphanol,15,ID15
15,Butorphanol,12,ID15
20,Butorphanol,12,ID15
25,Butorphanol,8,ID15
5,Butorphanol,16,ID16
10,Butorphanol,16,ID16
15,Butorphanol,14,ID16
20,Butorphanol,12,ID16
25,Butorphanol,11,ID16
5,Butorphanol,12,ID17
10,Butorphanol,15,ID17
15,Butorphanol,13,ID17
20,Butorphanol,13,ID17
25,Butorphanol,11,ID17
5,Butorphanol,11,ID18
10,Butorphanol,20,ID18
15,Butorphanol,16,ID18
20,Butorphanol,16,ID18
25,Butorphanol,15,ID18
5,Butorphanol,15,ID19
10,Butorphanol,17,ID19
15,Butorphanol,14,ID19
20,Butorphanol,13,ID19
25,Butorphanol,12,ID19
5,Butorphanol,10,ID20
10,Butorphanol,10,ID20
15,Butorphanol,10,ID20
20,Butorphanol,8,ID20
25,Butorphanol,8,ID20
5,Butorphanol,10,ID21
10,Butorphanol,15,ID21
15,Butorphanol,11,ID21
20,Butorphanol,9,ID21
25,Butorphanol,8,ID21
5,Butorphanol,12,ID22
10,Butorphanol,14,ID22
15,Butorphanol,10,ID22
20,Butorphanol,10,ID22
25,Butorphanol,9,ID22
